id,firstname,lastname,skills,endorsements,volunteer_experience,num_connections,location,causes_supported,industry,summary
1465,ashima,mehrotra,"Budgets, Balance Allocation, Manual Dexterity, Certified Public Accountant (CPA)","49, 45, 29, 5",6,163,location,"cause1,cause2",industry,summary
1466,rahul,nagpal,"Communications, Deployment Automation Tools, Creative","12, 41, 34",5,125,location,"cause1,cause2",industry,summary
1467,chad,rai,"Cloud Maintenance Tasks, Food Safety, Health and Safety, Promotions","23, 45, 45, 18",5,21,location,"cause1,cause2",industry,summary
1468,mia,rai,"Attention to Detail, Time Efficient, Photoshop, Creating Interactive Charts, Graphs, and Maps","39, 10, 9, 19",9,499,location,"cause1,cause2",industry,summary
1469,mia,nagpal,"Image Management, Financial Statement Analysis, Audits, Journalist Ethics, Hiring","16, 28, 32, 12, 29",3,341,location,"cause1,cause2",industry,summary
1470,mia,ann,"Proofreading, Service, Crystal Reports, DevOps, Hotel Kitchen","12, 45, 36, 21, 16",1,340,location,"cause1,cause2",industry,summary
1471,chad,bhatnagar,"Factory Manager, Financial Software, Language, Courtesy","23, 5, 16, 25",7,381,location,"cause1,cause2",industry,summary
1472,abhijeet,wartney,"Reporting, Collections, Java, Account Analysis, Bank Reconciliations","42, 40, 26, 8, 4",3,208,location,"cause1,cause2",industry,summary
1473,rahul,walia,"Jquery, Accounts Receivable, Answer Client Questions, Monthly Closes, matlab","37, 25, 10, 41, 14",3,146,location,"cause1,cause2",industry,summary
1474,abhijeet,rai,"JavaScript, Cloud Based Visualizations, Numerical Competence","2, 26, 21",3,203,location,"cause1,cause2",industry,summary
1475,ashima,parker,"Scheduling, Credit Management, Caring, Techniques","19, 33, 38, 45",4,365,location,"cause1,cause2",industry,summary
1476,nishant,dangelo,"Analysis, Metrics, Report Writing","48, 43, 47",8,399,location,"cause1,cause2",industry,summary
1477,sid,kapoor,"Inventory Rotation, Problem Analysis, Proposals, Cloud Applications","12, 50, 41, 26",7,314,location,"cause1,cause2",industry,summary
1478,kendra,kapoor,"Interpersonal Skills, Empathy, Production Coordinator, Algorithmic","42, 11, 42, 11",4,407,location,"cause1,cause2",industry,summary
1479,akshay,kapoor,"Cloud Based Visualizations, Service, Supervision, Financial Reporting, Efficiency","35, 4, 40, 30, 36",10,29,location,"cause1,cause2",industry,summary
1480,ashima,walia,"Communication, Journal Entry Preparation/Posting, Scalp Treatment, Public Speaking, Planner","32, 25, 39, 35, 1",1,359,location,"cause1,cause2",industry,summary
1481,rohit,bhatnagar,"DevOps, Team Building, Motivation, Analysis, Photoshop","23, 47, 19, 17, 6",6,245,location,"cause1,cause2",industry,summary
1482,rohit,wartney,"Report Writing, Consistency, Problem Analysis, JavaScript","17, 10, 48, 41",9,321,location,"cause1,cause2",industry,summary
1483,abhijeet,sherawat,"Invoices, Active Listening, Management","13, 33, 11",4,279,location,"cause1,cause2",industry,summary
1484,varun,wartney,"Problem Solving, Critical Thinking, Corporate Tax, Bedding Designer, Baking Techniques","19, 12, 16, 21, 2",8,179,location,"cause1,cause2",industry,summary
1485,mia,parker,"Multitasking, Complaints, Customer Service","37, 33, 44",10,474,location,"cause1,cause2",industry,summary
1486,nishant,rai,"Customer Service, Web Metrics, Multitasking, Product Knowledge, matlab","39, 34, 37, 1, 11",6,330,location,"cause1,cause2",industry,summary
1487,kendra,singh,"Metrics, Content Review, Production Coordinator","24, 37, 34",6,347,location,"cause1,cause2",industry,summary
1488,himani,mehrotra,"Computer, Communication, Problem Analysis, Forecasting","4, 38, 30, 26",1,144,location,"cause1,cause2",industry,summary
1489,mia,singh,"Toleration, Financial Statement Analysis, Temperature Control, Interest Calculations","8, 39, 34, 11",9,163,location,"cause1,cause2",industry,summary
1490,adam,ann,"Negotiation, Paychex, Production Assistant, Documentation","19, 50, 10, 21",9,178,location,"cause1,cause2",industry,summary
1491,sid,sherawat,"Monthly Closes, Pastry, Hair Design","36, 30, 44",4,29,location,"cause1,cause2",industry,summary
1492,nishant,arora,"cloud, Sales, Cloud Maintenance Tasks, Test Building Materials, Food Science","11, 34, 27, 26, 28",3,293,location,"cause1,cause2",industry,summary
1493,simar,mehrotra,"Python, sql, Service Writing","19, 28, 3",3,106,location,"cause1,cause2",industry,summary
1494,dave,rai,"Depersonalization, Appointment Scheduling, Language, Teamwork","1, 30, 29, 33",7,58,location,"cause1,cause2",industry,summary
1495,abhishek,singh,"Sales, Electrical Installations, APIs","33, 20, 24",9,364,location,"cause1,cause2",industry,summary
1496,mia,rai,"Change and Repair Tires, Credits, Techniques, Food Science, Flexibility","20, 17, 10, 13, 1",1,457,location,"cause1,cause2",industry,summary
1497,dave,dangelo,"Bilingual, Budgets, Receptionist, Digital Media","9, 48, 19, 26",3,468,location,"cause1,cause2",industry,summary
1498,himani,mehrotra,"Income Tax, Generating Content for Social Media Outlets, Metrics, Planning, Retail Fashion Recruiter","26, 9, 2, 31, 50",7,409,location,"cause1,cause2",industry,summary
1499,tiffany,walia,"public speaking, Ingredient Selection, Scheduling","13, 17, 1",2,189,location,"cause1,cause2",industry,summary
1500,chad,parker,"Brand Ambassador, Organization, Information Design","47, 43, 24",7,347,location,"cause1,cause2",industry,summary
1501,kendra,mehrotra,"Budgeting, Conduct tests and inspections, Food Pricing, Editing","38, 9, 37, 23",3,237,location,"cause1,cause2",industry,summary
1502,varun,rai,"Product Knowledge, Withdrawals, First Aid","50, 44, 31",4,241,location,"cause1,cause2",industry,summary
1503,varun,roy,"Editing, Toleration, Car Tune-Up, Problem Solving, Critical Thinking","45, 37, 43, 20, 26",6,342,location,"cause1,cause2",industry,summary
1504,adam,mehrotra,"Supervision, Decision Making, Hiring, Auto Body Repair","24, 47, 43, 1",3,272,location,"cause1,cause2",industry,summary
1505,sid,kapoor,"MS Excel, Factory Manager, Negotiation, IT Knowledge, Service","44, 30, 37, 34, 43",8,392,location,"cause1,cause2",industry,summary
1506,abhishek,gandhi,"Planner, Technology, Physics, Creativity","27, 24, 44, 1",6,202,location,"cause1,cause2",industry,summary
1507,simar,rai,"Organizing, Communication, Electrical Schematics, Bilingual, Creative Director","46, 20, 26, 6, 44",2,353,location,"cause1,cause2",industry,summary
1508,varun,singh,"Reasoning, Data Entry, Establishing Procedures, Verifications, Online searches","6, 50, 37, 20, 46",8,176,location,"cause1,cause2",industry,summary
1509,dave,roy,"Stocking, Organization, Bank Reconciliations, Monthly Closes, Financial Reporting","43, 25, 21, 21, 23",8,107,location,"cause1,cause2",industry,summary
1510,mia,arora,"Bilingual, Job Cost Reports, Certified Public Accountant (CPA)","12, 47, 33",2,188,location,"cause1,cause2",industry,summary
1511,mark,parker,"Transaction Inquiries, public speaking, Cloud Based Development, Customer Relations","9, 31, 11, 28",4,281,location,"cause1,cause2",industry,summary
1512,rohit,rai,"Reporting, Cash Receipts, Menus, Decision Making","12, 12, 24, 49",10,375,location,"cause1,cause2",industry,summary
1513,kendra,arora,"Account Analysis, Cloud Applications, Creating Educational Materials, Check Runs","10, 12, 42, 16",7,168,location,"cause1,cause2",industry,summary
1514,rohit,kapoor,"Accounting Principles, Coding, Proposals, IT Knowledge, Bank Deposits","2, 50, 20, 15, 30",6,163,location,"cause1,cause2",industry,summary
1515,nishant,mehrotra,"Excel, Creativity, Event Planner, Grammar, Questioning Others","44, 43, 49, 18, 38",4,276,location,"cause1,cause2",industry,summary
1516,tiffany,nagpal,"Generating Content for Social Media Outlets, Recordkeeping, Mathematical","39, 34, 32",2,291,location,"cause1,cause2",industry,summary
1517,varun,ann,"Federal Tax Law, Algorithmic, Interaction Flows, Java","20, 44, 39, 36",10,66,location,"cause1,cause2",industry,summary
1518,lisa,parker,"Flexibility, Promotions, html5","48, 31, 17",7,194,location,"cause1,cause2",industry,summary
1519,abhishek,roy,"Attentiveness, Decision Trees, Car Tune-Up, Content Management","2, 10, 18, 14",7,306,location,"cause1,cause2",industry,summary
1520,rahul,dangelo,"Technology, Checking Account Deposit, Passion, Microsoft Office, Baking","4, 44, 48, 35, 13",2,73,location,"cause1,cause2",industry,summary
1521,adam,rai,"JavaScript, Attentiveness, Dedication","19, 21, 7",8,488,location,"cause1,cause2",industry,summary
1522,sid,walia,"Recommendations, Interpersonal Skills, Digital Media, Service Advising, Income Tax","49, 38, 11, 14, 49",1,281,location,"cause1,cause2",industry,summary
1523,rahul,rai,"Chart of Accounts, Stocking, Image Management","2, 41, 47",2,135,location,"cause1,cause2",industry,summary
1524,varun,gandhi,"Payroll, Overseeing Operation, Technology","32, 35, 45",2,144,location,"cause1,cause2",industry,summary
1525,abhishek,parker,"Publications, Food Regulations, Techniques","42, 35, 50",8,34,location,"cause1,cause2",industry,summary
1526,rohit,mehrotra,"Hotel Kitchen, Hair Lightening, sql, Evaluating Emerging Digital Technology Tools","28, 32, 35, 24",2,196,location,"cause1,cause2",industry,summary
1527,abhishek,roy,"Bank Reconciliations, Prioritizing, Analytics","13, 13, 27",9,19,location,"cause1,cause2",industry,summary
1528,adam,sherawat,"Training, Forecasting, Diplomacy, Optimization","19, 43, 20, 21",5,438,location,"cause1,cause2",industry,summary
1529,nishant,singh,"Pedicures, Customer Service, Initiative, Aging Reports","2, 17, 42, 31",3,233,location,"cause1,cause2",industry,summary
1530,chad,dangelo,"Complaints, Linux, Planning Strategy for Websites and Social Media, Following Directions","42, 30, 2, 29",10,367,location,"cause1,cause2",industry,summary
1531,akshay,bhatnagar,"Collaboration, Following Directions, Supervising","24, 13, 30",6,116,location,"cause1,cause2",industry,summary
1532,nishant,rai,"Agile Development, Customer Relations, Integrating Security Protocols with Cloud Design, MS Word","40, 23, 48, 24",10,37,location,"cause1,cause2",industry,summary
1533,rohit,singh,"Personal Tax, Engine Repair, Agile Project Methodology, Perform routine and schedule maintenance","45, 30, 1, 18",8,88,location,"cause1,cause2",industry,summary
1534,tiffany,walia,"Evaluating Processes, Corporate Tax, Pumping Gas","37, 17, 24",5,96,location,"cause1,cause2",industry,summary
1535,abhishek,nagpal,"Pitching Story Possibilities to Editors, Checking Account Withdrawal, Hair Cutting","10, 49, 48",5,370,location,"cause1,cause2",industry,summary
1536,rohit,kapoor,"Administrative Tasks, Interaction Design, Critical Thinking, Catering, Chart of Accounts","22, 13, 13, 12, 4",8,380,location,"cause1,cause2",industry,summary
1537,abhishek,nagpal,"Active Listening, Innovation, Computer, Data Modeling, Events Manager","7, 33, 31, 10, 48",2,208,location,"cause1,cause2",industry,summary
1538,rahul,bhatnagar,"Data Modeling, Proposal Writing, Financial Reporting, Tax Compliance","11, 23, 8, 43",7,279,location,"cause1,cause2",industry,summary
1539,simar,wartney,"Financial Reporting, Sales, Written Communication, Passion, Training","15, 18, 25, 26, 27",5,203,location,"cause1,cause2",industry,summary
1540,abhishek,gandhi,"Financial Statements, Azure, Truck Driving, Organization, Data Visualization Tools","37, 30, 28, 9, 40",10,65,location,"cause1,cause2",industry,summary
1541,ashima,bhatnagar,"Balance Sheets, Supervising, Food Regulations","37, 24, 40",3,475,location,"cause1,cause2",industry,summary
1542,adam,walia,"Code Management and Promotion Tools, Planner, Prepare Designs and Estimates, IT Knowledge","4, 44, 35, 45",8,481,location,"cause1,cause2",industry,summary
1543,varun,arora,"Cash Receipts, Engagement, HTML, DevOps, Deployment of Cloud Services","48, 43, 9, 27, 18",1,173,location,"cause1,cause2",industry,summary
1544,rohit,bhatnagar,"Food Preparation, Caring, Empathy, Oracle","23, 24, 17, 16",6,337,location,"cause1,cause2",industry,summary
1545,rohit,walia,"Explaining Scope of Work to Stakeholders, Audit Schedules, Editing","49, 26, 19",9,126,location,"cause1,cause2",industry,summary
1546,mia,singh,"Financial Statement Analysis, Prepare Designs and Estimates, Oil Change, Email Marketing","49, 28, 7, 39",5,334,location,"cause1,cause2",industry,summary
1547,sid,kapoor,"Interpersonal, Accounting Principles, Scalp Treatment, Investigation, Concepts","48, 34, 2, 35, 32",1,321,location,"cause1,cause2",industry,summary
1548,akshay,parker,"Cloud Systems Administration, Proposal Writing, Customer Service Representative, Change and Repair Tires","40, 22, 29, 43",6,454,location,"cause1,cause2",industry,summary
1549,ashima,mehrotra,"Microsoft Office, Following Directions, Digital Media","49, 16, 16",4,189,location,"cause1,cause2",industry,summary
1550,varun,singh,"Cloud Based Visualizations, Peachtree, Problem Solving","6, 21, 22",4,403,location,"cause1,cause2",industry,summary
1551,tiffany,walia,"Photography, Planning Assistant, Service, Team Building, Technology","16, 12, 16, 31, 1",7,20,location,"cause1,cause2",industry,summary
1552,adam,dangelo,"Build, Manage and Monitor Cloud Environments, Best Practices, Planning Strategy for Websites and Social Media","8, 14, 33",10,196,location,"cause1,cause2",industry,summary
1553,chad,nagpal,"Food Regulations, Invoices, Mathematical, Car Tune-Up","28, 35, 47, 29",2,295,location,"cause1,cause2",industry,summary
1554,akshay,sherawat,"Financial Statement Analysis, Production Sourcing Director, Buyer, Styling","6, 13, 26, 11",4,303,location,"cause1,cause2",industry,summary
1555,rohit,dangelo,"Creating Interactive Charts, Graphs, and Maps, Evaluating Emerging Digital Technology Tools, Invoices, Copy Editing","15, 34, 40, 31",1,452,location,"cause1,cause2",industry,summary
1556,rahul,rai,"Interaction Flows, Information Design, Product Knowledge","18, 47, 30",7,17,location,"cause1,cause2",industry,summary
1557,mark,gandhi,"Forecasting, Balance Allocation, Cost Control","48, 8, 14",1,74,location,"cause1,cause2",industry,summary
1558,tiffany,wartney,"D3.js, html, Depersonalization, Food Regulations","39, 27, 42, 24",5,45,location,"cause1,cause2",industry,summary
1559,nishant,bhatnagar,"Recommendations, Technology, Food Pricing, Web Metrics, Persuasion","46, 28, 40, 27, 31",7,426,location,"cause1,cause2",industry,summary
1560,varun,gandhi,"matlab, Multitasking, Digital Media, Identifying Audience, ECL","5, 30, 3, 36, 23",4,372,location,"cause1,cause2",industry,summary
1561,rahul,nagpal,"Technical, Hiring, Jquery, Attending Classes","44, 31, 33, 4",4,191,location,"cause1,cause2",industry,summary
1562,priya,sherawat,"Presenting Proposals to Colleagues, Courtesy, Tax Liabilities","50, 42, 16",8,478,location,"cause1,cause2",industry,summary
1563,rahul,parker,"Persuasion, Commitment, Accounts Receivable","42, 6, 24",6,237,location,"cause1,cause2",industry,summary
1564,rahul,rai,"Copy Editing, Teamwork, Tax Law, Photoshop","19, 44, 1, 46",10,115,location,"cause1,cause2",industry,summary
1565,chad,parker,"Evaluating Emerging Digital Technology Tools, Rehabilitating Others, matlab, Fixed Assets","21, 9, 24, 34",8,300,location,"cause1,cause2",industry,summary
1566,ashima,parker,"Hiring, Big Data, Cloud Maintenance Tasks, Initiative","40, 34, 9, 31",4,172,location,"cause1,cause2",industry,summary
1567,ashima,gandhi,"Numerical Competence, Updating Files, Attention to Detail","6, 4, 5",1,162,location,"cause1,cause2",industry,summary
1568,kendra,kapoor,"Big Data, html5, Federal Tax Law","25, 33, 5",10,144,location,"cause1,cause2",industry,summary
1569,abhijeet,gandhi,"Financial Reporting, Positive Attitude, Journalist Ethics","21, 34, 14",6,49,location,"cause1,cause2",industry,summary
1570,rohit,gandhi,"Product Knowledge, Transaction Inquiries, Information Architecture, Budgets","18, 42, 3, 9",8,299,location,"cause1,cause2",industry,summary
1571,nishant,gandhi,"Persuasion, Time Efficient, Python","17, 26, 12",10,419,location,"cause1,cause2",industry,summary
1572,adam,sherawat,"Cloud Applications, Amazon Web Services (AWS), Transaction Inquiries, Brand Ambassador, Accuracy","6, 48, 27, 18, 31",2,272,location,"cause1,cause2",industry,summary
1573,lisa,kapoor,"Bookkeeping, Shampooing Hair, Digital Marketing","25, 44, 13",10,437,location,"cause1,cause2",industry,summary
1574,akshay,kapoor,"Planning, Principal Concept Knowledge, Teamwork","43, 22, 22",1,252,location,"cause1,cause2",industry,summary
1575,himani,walia,"Shampooing Hair, Algorithms, Presenting Proposals to Colleagues, Annual Reports","10, 48, 25, 39",8,355,location,"cause1,cause2",industry,summary
1576,mark,roy,"J2EE, Food Preparation, Production Sourcing Director, Finance, Conflict Resolution","37, 44, 19, 15, 5",1,208,location,"cause1,cause2",industry,summary
1577,sid,wartney,"Commitment, Evaluating Emerging Digital Technology Tools, Cloud Applications, Hotel Kitchen","25, 35, 34, 30",6,362,location,"cause1,cause2",industry,summary
1578,priya,wartney,"Time Efficient, Evaluating Processes, Microsoft Office, Content Review, Planning Assistant","1, 47, 27, 38, 45",5,465,location,"cause1,cause2",industry,summary
1579,adam,mehrotra,"Troubleshooting Abilities, Tax Filing, Collaboration, Development","43, 42, 12, 28",10,404,location,"cause1,cause2",industry,summary
1580,lisa,arora,"Content Management Systems (CMS), Content Promotion, Hair Lightening, Service, Brand Strategist","4, 37, 14, 12, 14",3,474,location,"cause1,cause2",industry,summary
1581,kendra,rai,"Data Imports, Decision Making, Linux, Bill Payment, Google Cloud","30, 45, 37, 45, 6",4,390,location,"cause1,cause2",industry,summary
1582,nishant,wartney,"Control Labor Costs, Kitchen Management, Mathematical","34, 43, 31",7,124,location,"cause1,cause2",industry,summary
1583,rohit,dangelo,"Heat Control, Conduct tests and inspections, Cash Receipts, Transferable","36, 3, 34, 46",5,291,location,"cause1,cause2",industry,summary
1584,dave,dangelo,"Positive Attitude, Logical Thinking, Hair Styling","16, 31, 21",1,297,location,"cause1,cause2",industry,summary
1585,himani,bhatnagar,"Teamwork, Financial Analysis, Account Reconciliation","29, 47, 8",8,299,location,"cause1,cause2",industry,summary
1586,lisa,nagpal,"Production Coordinator, Tax Law, Recordkeeping","38, 26, 43",8,485,location,"cause1,cause2",industry,summary
1587,himani,roy,"Accuracy, Account Reconciliation, Publications, Inventory Rotation","22, 27, 1, 5",9,88,location,"cause1,cause2",industry,summary
1588,ashima,gandhi,"Prepare Designs and Estimates, Personal Tax, Accounts Receivable, Reporting","7, 20, 47, 22",1,109,location,"cause1,cause2",industry,summary
1589,lisa,kapoor,"iOS, Creative Director, Mock Ups","9, 41, 1",5,254,location,"cause1,cause2",industry,summary
1590,tiffany,rai,"Asset Management, Tax Software, Training, Content Programming, Hotel Kitchen","3, 12, 40, 19, 35",3,399,location,"cause1,cause2",industry,summary
1591,chad,wartney,"Depreciation, Formatting, Adaptability, Responsibility","18, 7, 2, 34",1,421,location,"cause1,cause2",industry,summary
1592,lisa,sherawat,"Publications, Creating Educational Materials, Fundraising, Brand Ambassador","45, 17, 46, 33",1,265,location,"cause1,cause2",industry,summary
1593,nishant,dangelo,"Data Imports, Explaining Scope of Work to Stakeholders, sql","45, 13, 25",9,245,location,"cause1,cause2",industry,summary
1594,adam,sherawat,"Microsoft Office, Tax Compliance, Tax Analysis, Financial Statements, Pedicures","31, 44, 14, 43, 26",1,302,location,"cause1,cause2",industry,summary
1595,rohit,arora,"Customer Service, Inventory Management, Buyer, Prepare Designs and Estimates, Transferable","16, 47, 36, 2, 11",1,320,location,"cause1,cause2",industry,summary
1596,mark,parker,"APIs, Cloud Based Visualizations, Multitasking","5, 25, 1",8,109,location,"cause1,cause2",industry,summary
1597,akshay,rai,"Electrical Schematics, Personal Tax, Multitasking, Organizing, Payroll","1, 15, 4, 27, 25",1,326,location,"cause1,cause2",industry,summary
1598,mia,nagpal,"Entertainment, Interpersonal, Menus, Cost Accounting, Interaction Flows","44, 21, 41, 48, 23",1,260,location,"cause1,cause2",industry,summary
1599,himani,rai,"Persuasion, Cosmetics Consulting, Time Efficient","1, 17, 13",9,62,location,"cause1,cause2",industry,summary
1600,nishant,roy,"Cost Control, Decision Making, C++, Financial Software, Empathy","9, 23, 10, 26, 39",2,459,location,"cause1,cause2",industry,summary
1601,kendra,arora,"Python, Account Analysis, Updating Files, Establishing Tone, Accounts Receivable","46, 23, 48, 13, 14",5,385,location,"cause1,cause2",industry,summary
1602,nishant,kapoor,"Financial Report Auditing, Corporate Tax, Hygiene, Receptionist","40, 12, 31, 28",10,324,location,"cause1,cause2",industry,summary
1603,akshay,gandhi,"Initiative, MS Excel, Client Services Manager, Receptionist, Editing","47, 20, 47, 48, 27",3,106,location,"cause1,cause2",industry,summary
1604,abhijeet,arora,"Financial Statements, Problem Solving, Direction","10, 1, 18",4,316,location,"cause1,cause2",industry,summary
1605,simar,mehrotra,"Data Tools, Planning Strategy for Websites and Social Media, leadership, Microsoft Office","17, 21, 26, 21",9,465,location,"cause1,cause2",industry,summary
1606,varun,singh,"Integrating Security Protocols with Cloud Design, Production Sourcing Director, Analytical, Media","42, 14, 34, 8",4,228,location,"cause1,cause2",industry,summary
1607,ashima,rai,"Shampooing Hair, Personal Tax, Drafting, Team Player","35, 23, 49, 25",1,104,location,"cause1,cause2",industry,summary
1608,simar,parker,"Accounts Payable, iOS, Diesel Engine Repair, Documenting, Creativity","45, 1, 12, 2, 45",3,199,location,"cause1,cause2",industry,summary
1609,simar,nagpal,"Data Modeling, Editing , Brake Repair, Planning Assistant","1, 23, 10, 3",10,320,location,"cause1,cause2",industry,summary
1610,rahul,sherawat,"Positive Attitude, Best Practices, Budgets, Verbal Communication","9, 19, 1, 48",5,131,location,"cause1,cause2",industry,summary
1611,rahul,dangelo,"Proofreading, Bill Payment, Balance Sheets, Customer Service Representative, Google Cloud","24, 8, 8, 30, 3",2,451,location,"cause1,cause2",industry,summary
1612,priya,bhatnagar,"Tax Analysis, Editing, Detail Oriented, Preparing Written Documents, Client Services Manager","24, 49, 40, 50, 8",9,373,location,"cause1,cause2",industry,summary
1613,kendra,singh,"General Manager, Best Practices, Construction, Hair Lightening, Big Data","31, 48, 34, 2, 32",1,45,location,"cause1,cause2",industry,summary
1614,akshay,walia,"Inventory Management, Content Programming, Poise, Creating Educational Materials, Big Data","16, 22, 15, 43, 2",4,61,location,"cause1,cause2",industry,summary
1615,tiffany,parker,"Electrical Schematics, Efficiency, Attention to Detail","5, 33, 10",1,347,location,"cause1,cause2",industry,summary
1616,abhijeet,parker,"Bank Reconciliations, Passion, Content Strategy","15, 28, 15",2,366,location,"cause1,cause2",industry,summary
1617,mark,roy,"Empathy, Evaluating Options and Ordering Equipment and Tools, Stocking","17, 25, 15",9,175,location,"cause1,cause2",industry,summary
1618,lisa,bhatnagar,"Catering, Digital Media, Creating Interactive Charts, Graphs, and Maps, Updating Files","39, 4, 24, 50",6,469,location,"cause1,cause2",industry,summary
1619,rohit,arora,"Microsoft Office, Direction, Temperature Control","9, 5, 29",3,493,location,"cause1,cause2",industry,summary
1620,ashima,gandhi,"Payroll Taxes, Critical Thinking, Tax Reporting","20, 41, 18",5,466,location,"cause1,cause2",industry,summary
1621,akshay,wartney,"Transaction Inquiries, Bilingual, Certified Public Accountant (CPA), Dedication","42, 37, 33, 28",5,115,location,"cause1,cause2",industry,summary
1622,sid,singh,"Technical Support, Information Architecture, Scheduling, Innovation","28, 13, 26, 39",9,104,location,"cause1,cause2",industry,summary
1623,kendra,mehrotra,"Technical Support, Analytical, Forecasting","49, 5, 13",4,186,location,"cause1,cause2",industry,summary
1624,dave,gandhi,"Service Writing, Data Tools, Accounting Principles","19, 24, 36",2,393,location,"cause1,cause2",industry,summary
1625,varun,mehrotra,"Decision Making, Conditioning Hair, Interaction Design, Checking Account Withdrawal, Positivity","14, 23, 22, 38, 37",3,461,location,"cause1,cause2",industry,summary
1626,akshay,nagpal,"Brand Ambassador, Managing Full Application Stacks, Supervision, Construction","6, 14, 31, 6",8,453,location,"cause1,cause2",industry,summary
1627,sid,parker,"Overseeing Operation, Prioritizing, Diagnostic Abilities, Audits","44, 41, 42, 20",4,274,location,"cause1,cause2",industry,summary
1628,mia,bhatnagar,"Truck Driving, Pumping Gas, Towing, ECL","28, 49, 33, 38",4,199,location,"cause1,cause2",industry,summary
1629,mark,roy,"Industrial Control Systems, Toleration, Budgets, Commitment, Numerical Competence","22, 2, 46, 30, 24",8,284,location,"cause1,cause2",industry,summary
1630,kendra,mehrotra,"Conflict Resolution, Journal Entry Preparation/Posting, Plan Development, Trial Balancing, Financial Statements","5, 22, 10, 46, 38",3,207,location,"cause1,cause2",industry,summary
1631,rahul,kapoor,"HTML, Analytics, Answer Client Questions, Scheduling","39, 34, 11, 20",3,450,location,"cause1,cause2",industry,summary
1632,sid,bhatnagar,"Conditioning Hair, IT Knowledge, html5","40, 18, 32",3,22,location,"cause1,cause2",industry,summary
1633,abhishek,dangelo,"Evaluating Emerging Digital Technology Tools, Critical Thinking, Following Directions, Documentation, Excel","25, 23, 11, 38, 8",7,233,location,"cause1,cause2",industry,summary
1634,lisa,bhatnagar,"Automated Deployment, AWS, Bilingual, Establishing purpose","49, 22, 44, 6",8,222,location,"cause1,cause2",industry,summary
1635,mark,gandhi,"Mathematical, Handling Criticism Calmly, Hosting Virtualization Platforms","44, 10, 1",7,372,location,"cause1,cause2",industry,summary
1636,ashima,dangelo,"Decision Making, JavaScript, Prioritizing, Engagement, Asset Management","41, 33, 15, 48, 14",9,148,location,"cause1,cause2",industry,summary
1637,adam,singh,"Drafting, Prioritizing, Scalp Treatment","32, 18, 27",2,319,location,"cause1,cause2",industry,summary
1638,adam,mehrotra,"Decision Making, Decision Making, Team Building, Tax Software","21, 43, 35, 40",1,49,location,"cause1,cause2",industry,summary
1639,varun,wartney,"Depreciation, Technical, Training, Communication","48, 13, 30, 20",6,345,location,"cause1,cause2",industry,summary
1640,mia,wartney,"Pedicures, Financial Statement Analysis, Administrative Tasks, Chart of Accounts","3, 1, 36, 40",10,136,location,"cause1,cause2",industry,summary
1641,rohit,singh,"Retail Buyer, Big Data, Big Data, Financial Analysis","20, 50, 17, 2",4,162,location,"cause1,cause2",industry,summary
1642,tiffany,wartney,"Curated Merchant, Cost Control, Interpersonal, Factory Manager, Supervising","28, 17, 8, 46, 38",4,374,location,"cause1,cause2",industry,summary
1643,ashima,wartney,"Detail Oriented, Motivation, Responsibility","43, 49, 46",5,79,location,"cause1,cause2",industry,summary
1644,nishant,sherawat,"Promotions, Agile Project Methodology, Digital Media, Towing","30, 45, 45, 2",2,346,location,"cause1,cause2",industry,summary
1645,kendra,kapoor,"Cross Sales of Service, Optimization, Creative, Product Developer, Skin Care","37, 41, 41, 27, 25",4,235,location,"cause1,cause2",industry,summary
1646,mark,dangelo,"Training, Algorithmic, Photoshop","29, 13, 24",7,489,location,"cause1,cause2",industry,summary
1647,simar,gandhi,"Accounting Principles, Benchmarking, Financial Statement Analysis, Investigation","44, 23, 43, 6",7,11,location,"cause1,cause2",industry,summary
1648,mark,gandhi,"Production Assistant, Product Developer, Pumping Gas","29, 31, 21",5,45,location,"cause1,cause2",industry,summary
1649,himani,roy,"Banquet, Checking Account Withdrawal, Time Efficient","33, 2, 1",6,270,location,"cause1,cause2",industry,summary
1650,mark,walia,"Integrating Security Protocols with Cloud Design, Entertainment, Collaboration, Computer","22, 44, 37, 41",1,311,location,"cause1,cause2",industry,summary
1651,nishant,ann,"Business Storytelling, Flexibility, Collaboration, Metrics","19, 40, 7, 33",4,87,location,"cause1,cause2",industry,summary
1652,ashima,rai,"Establishing purpose, Auto Body Repair, Negotiation, Logical Thinking, Brand Strategist","24, 49, 15, 30, 37",7,78,location,"cause1,cause2",industry,summary
1653,chad,walia,"Client Services Manager, Organizing, Menu Planning, Organization","47, 34, 50, 11",5,488,location,"cause1,cause2",industry,summary
1654,lisa,mehrotra,"Public Relations, Rebuild Parts, Journal Entry Preparation/Posting","15, 49, 15",4,188,location,"cause1,cause2",industry,summary
1655,akshay,ann,"Buyer, leadership, Customer Service Representative, Drawing Consensus","13, 49, 39, 1",4,78,location,"cause1,cause2",industry,summary
1656,adam,nagpal,"Cooking, Attending Classes, Computer Programs","31, 45, 26",10,466,location,"cause1,cause2",industry,summary
1657,sid,dangelo,"Multitasking, Accuracy, Computer Programs","50, 15, 41",7,367,location,"cause1,cause2",industry,summary
1658,dave,dangelo,"Factory Manager, Electrical Schematics, Multitasking, Communication, Communications","9, 14, 10, 2, 26",10,137,location,"cause1,cause2",industry,summary
